"";"data.classe";"data.classe.n"
"396";"Veneer";18
"397";"Veneer";18
"398";"Veneer";18
"399";"Veneer";18
"400";"Veneer";18
"401";"IV";11
"402";"I";6
"403";"Veneer";18
"404";"Veneer";18
"405";"Veneer";18
"406";"Reconstituição";14
"407";"Veneer";18
"408";"I";6
"409";"V";16
"410";"Veneer";18
"411";"II";8
"412";"Veneer";18
"413";"II";8
"414";"II";8
"415";"II";8
"416";"Reconstituição";14
"417";"II";8
"418";"II";8
"419";"I";6
"420";"II";8
"421";"I";6
"422";"Veneer";18
"423";"Veneer";18
"424";"Veneer";18
"425";NA;NA
"426";"Veneer";18
"427";"Veneer";18
"428";"IV";11
"429";"Veneer";18
"430";"Veneer";18
"431";"Veneer";18
"432";"II";8
"433";"III";9
"434";"Veneer";18
"435";"IV";11
"436";"Veneer";18
"437";"II";8
"438";"II";8
"439";"Reconstituição";14
"440";"II";8
"441";"III";9
"442";"III";9
"443";"III";9
"444";"III";9
"445";"III";9
"446";"III";9
"447";"II";8
"448";"II";8
"449";NA;NA
"450";NA;NA
"451";"V";16
"452";"II";8
"453";"II";8
"454";"IV";11
"455";"II";8
"456";"II";8
"457";"II";8
"458";"I";6
"459";NA;NA
"460";NA;NA
"461";"II";8
"462";"V";16
"463";"II";8
"464";NA;NA
"465";"I";6
"466";"V";16
"467";"V";16
"468";"II";8
"469";"V";16
"470";"V";16
"471";"II";8
"472";NA;NA
"473";"V";16
"474";"V";16
"475";"V";16
"476";"II";8
"477";"V";16
"478";"I";6
"479";"II";8
"480";"II";8
"481";"III";9
"482";"Veneer";18
"483";"Veneer";18
"484";"II";8
"485";NA;NA
"486";"II";8
"487";"I";6
"488";"Coroa pura";3
"489";"II";8
"490";"II";8
"491";"II";8
"492";"V";16
"493";"V";16
"494";"V";16
"495";"V";16
"496";"II";8
"497";"Veneer";18
"498";"Veneer";18
"499";"III";9
"500";"Veneer";18
"501";"III";9
"502";"Veneer";18
"503";"III";9
"504";"Veneer";18
"505";"V";16
"506";"III";9
"507";"I";6
"508";"Veneer";18
"509";NA;NA
"510";"III";9
"511";"Veneer";18
"512";NA;NA
"513";"III";9
"514";NA;NA
"515";"II";8
"516";"II";8
"517";"II";8
"518";"II";8
"519";NA;NA
"520";"II";8
"521";"II";8
"522";"V+I";17
"523";"II";8
"524";NA;NA
"525";"II";8
"526";"II";8
"527";"II";8
"528";"II";8
"529";"II";8
"530";"II";8
"531";"II";8
"532";"II";8
"533";"II";8
"534";"II";8
"535";"II";8
"536";"Veneer";18
"537";NA;NA
"538";"Veneer";18
"539";"I";6
"540";"I";6
"541";"I";6
"542";"Reconstituição";14
"543";"I";6
"544";"II";8
"545";"II";8
"546";"I";6
"547";"II";8
"548";"II";8
"549";NA;NA
"550";"V";16
"551";"V";16
"552";"II";8
"553";"II";8
"554";"II";8
"555";"I+V";7
"556";"Veneer";18
"557";NA;NA
"558";NA;NA
"559";NA;NA
"560";"Veneer";18
"561";"III";9
"562";NA;NA
"563";NA;NA
"564";NA;NA
"565";NA;NA
"566";NA;NA
"567";"Veneer";18
"568";"III";9
"569";NA;NA
"570";NA;NA
"571";NA;NA
"572";NA;NA
"573";NA;NA
"574";"Veneer";18
"575";"III";9
"576";NA;NA
"577";NA;NA
"578";"Veneer";18
"579";"Veneer";18
"580";NA;NA
"581";NA;NA
"582";NA;NA
"583";NA;NA
"584";"II";8
"585";"V";16
"586";"Veneer";18
"587";"II";8
"588";"II";8
"589";"II";8
"590";"I";6
"591";"II";8
"592";"II";8
"593";"I";6
"594";"II";8
"595";"I";6
"596";"Reconstituição";14
"597";"I";6
"598";"II";8
"599";"IV";11
"600";"III";9
"601";"IV";11
"602";"III";9
"603";"III";9
"604";"II";8
"605";"Reconstituição";14
"606";"I";6
"607";"I";6
"608";"I";6
"609";"I";6
"610";"I";6
"611";"II";8
"612";"I";6
"613";"II";8
"614";"III";9
"615";NA;NA
"616";"III";9
"617";"III";9
"618";"III";9
"619";"II";8
"620";"II";8
"621";"II";8
"622";"II";8
"623";"II";8
"624";"II";8
"625";"II";8
"626";"II";8
"627";"II";8
"628";"II";8
"629";NA;NA
"630";"I";6
"631";"I";6
"632";"II";8
"633";"II";8
"634";"II";8
"635";"II";8
"636";"II";8
"637";"III";9
"638";"II";8
"639";"V";16
"640";"II";8
"641";"V";16
"642";"Veneer";18
"643";"II";8
"644";"V";16
"645";"V";16
"646";"II";8
"647";"V";16
"648";"V";16
"649";"Veneer";18
"650";"II";8
"651";"Veneer";18
"652";"III";9
"653";NA;NA
"654";"Veneer";18
"655";"V";16
"656";"Veneer";18
"657";"I";6
"658";"Veneer";18
"659";NA;NA
"660";"Veneer";18
"661";"Veneer";18
"662";NA;NA
"663";NA;NA
"664";NA;NA
"665";NA;NA
"666";NA;NA
"667";"Veneer";18
"668";"Veneer";18
"669";NA;NA
"670";NA;NA
"671";"Veneer";18
"672";"V";16
"673";"V";16
"674";"V";16
"675";"V";16
"676";"V";16
"677";"V";16
"678";"V";16
"679";"V";16
"680";"Reconstituição";14
"681";"V";16
"682";"IV";11
"683";"III";9
"684";"IV";11
"685";"IV";11
"686";"II";8
"687";"I";6
"688";"Reconstituição";14
"689";"I";6
"690";"Reconstituição";14
"691";"II";8
"692";NA;NA
"693";"II";8
"694";"II";8
"695";"II";8
"696";"I";6
"697";"V";16
"698";"IV";11
"699";"Reconstituição";14
"700";NA;NA
"701";"Reconstituição";14
"702";"Coroa";2
"703";"Reconstituição";14
"704";"Veneer";18
"705";"Veneer";18
"706";"Veneer";18
"707";"Veneer";18
"708";"Veneer";18
"709";"Veneer";18
"710";NA;NA
"711";"Veneer";18
"712";"Veneer";18
"713";"Veneer";18
"714";"Veneer";18
"715";"Veneer";18
"716";NA;NA
"717";"Veneer";18
"718";"Veneer";18
"719";"II";8
"720";"II";8
"721";"II";8
"722";"II";8
"723";"V";16
"724";"II";8
"725";"Reconstituição";14
"726";"II";8
"727";"II";8
"728";"II";8
"729";"II";8
"730";"II";8
"731";"I";6
"732";"I";6
"733";"II";8
"734";"V";16
"735";"II";8
"736";"II";8
"737";"Veneer";18
"738";NA;NA
"739";"Veneer";18
"740";"Veneer";18
"741";"Veneer";18
"742";"Veneer";18
"743";"Veneer";18
"744";NA;NA
"745";"IV";11
"746";NA;NA
"747";NA;NA
"748";NA;NA
"749";NA;NA
"750";"Veneer";18
"751";"Veneer";18
"752";NA;NA
"753";NA;NA
"754";NA;NA
"755";NA;NA
"756";"Veneer";18
"757";"II";8
"758";"II";8
"759";"Reconstituição";14
"760";"II";8
"761";NA;NA
"762";"Veneer";18
"763";NA;NA
"764";"III";9
"765";NA;NA
"766";"Veneer";18
"767";NA;NA
